Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
High income,23.96686188,24.23122345,24.09190355,23.76661364,23.62745232,22.8136556,22.38983292,22.77916745,23.12869064,22.6992379,21.98246737,22.45427363,,,
"Hong Kong SAR, China",6.835827987,6.7171725,6.844524385,6.947699229,7.067506488,7.058016579,7.475714668,7.218762443,6.478878505,6.254714375,6.170581955,5.989491533,6.26262691,6.323985,
Honduras,25.5871307,25.81421601,26.1135718,25.40931972,24.5107788,25.64997094,25.8278975,26.53892231,26.5924588,26.7243169,25.35785722,25.82015931,25.90842477,26.03242408,
Heavily indebted poor countries (HIPC),23.72206676,25.06040634,24.93492023,25.66704694,25.13252004,23.96252571,23.98321674,25.33653897,27.68759004,26.0564429,25.27679625,25.73937427,26.8309202,25.28551629,
Croatia,21.36566747,21.49936193,21.03825499,20.50543715,20.65084317,20.3676184,20.2753466,19.77098612,19.28990883,19.57602338,20.09527751,19.58415245,20.06514956,21.01032239,
Haiti,23.53326873,24.59258027,25.37328252,25.68991933,26.56062976,26.05569094,24.44867789,23.70540839,24.13852103,23.38232622,23.32753945,25.52810878,29.34113803,31.03700601,
Hungary,25.19990382,25.10410432,25.01819953,25.04907847,25.69053886,26.38323124,25.4924908,25.16968087,25.08482206,24.71178166,24.38025026,24.1759579,24.64836488,24.32018356,
IBRD only,36.43215291,36.76168618,36.5118719,35.70081702,35.13639498,34.85734411,34.01449578,34.2657323,34.92548024,34.0507831,33.64584015,35.41178565,35.63209581,34.23907011,
IDA & IBRD total,35.59245984,36.02965752,35.74661995,34.94568486,34.38246306,33.96149467,33.19735974,33.58646876,34.31574273,33.52153265,33.13295543,34.85965091,35.0999632,33.76186126,
IDA total,24.96926066,26.32675722,25.52580513,25.16584897,25.01467742,23.2494208,23.30208421,24.94205628,26.4811051,26.80535091,26.72339802,27.39840946,28.06425616,27.25654493,
IDA blend,24.27988069,25.738872,25.38895182,24.39174673,23.85644211,20.95553246,19.49040533,21.81276046,23.4653928,24.76781133,24.56561662,25.95545769,26.85642061,26.50810093,
Indonesia,42.77586634,43.91342343,43.59374442,42.63567744,41.92834213,40.0478624,39.30844398,39.3791548,39.72973745,38.951768,38.23839372,39.84481919,41.43004725,40.21562946,
IDA only,25.57642483,26.85374353,25.6531445,25.92981818,26.17795553,25.45398363,26.53914815,27.46822984,28.88981722,28.38921228,28.27888601,28.43751868,28.93722521,27.74790905,
Isle of Man,,,9.234801707,9.012033149,8.257548735,8.706772725,7.9069983,7.431955871,8.021557795,7.593255829,8.88444589,9.424168208,,,
India,30.72507823,30.16167976,29.3985277,28.40489956,27.6564012,27.34739148,26.61899994,26.50001665,26.4120919,24.59147531,25.12290581,26.46652361,25.28406278,25.03063332,
Not classified,,,,,,,,,,,,,,,
Ireland,23.33190421,24.26553444,24.0269939,23.80270297,24.40166738,38.40330288,36.48317444,36.23589045,36.87823743,35.91500018,37.37275621,38.18391409,40.68170533,33.18818387,
"Iran, Islamic Rep.",44.20937942,46.23228857,42.09416321,42.77886847,39.22822805,32.17473965,34.36750777,36.22932632,37.35278268,33.29714526,36.14055614,38.01373475,39.85569298,36.24386442,
Iraq,55.79349515,62.54802879,60.57698851,57.69152679,55.30759638,45.34028882,46.18250206,51.32968146,54.16994275,53.10940328,39.90409722,54.60888777,65.82839439,55.5843656,
Iceland,22.00288188,22.39411662,21.06430568,21.08005371,20.77705897,20.06093987,19.57767877,19.56025679,19.82184803,19.53163316,20.1810958,20.38828577,21.26440966,21.05673622,
Israel,20.88115969,20.18658753,20.5141077,20.62675632,19.97093092,20.01481997,19.16680124,18.61053797,18.87893716,18.97833976,19.42921119,18.02512968,18.89213336,,
Italy,21.36908017,21.24073422,20.79483201,20.60015394,20.18708447,20.28952832,20.66264572,20.79261424,20.98654902,21.01229844,20.96420391,22.55727711,23.22242618,22.93955728,
Jamaica,17.98633045,18.24902354,17.99386056,18.09906598,18.3652279,19.26597766,19.11196922,19.43699951,20.34854096,19.25358445,20.39123954,20.9347128,19.92208154,18.64888432,
Jordan,26.26682864,26.79466943,25.80780431,25.64066059,25.50879656,25.23280626,24.66931196,24.51396985,24.07783293,24.11168804,23.55381002,23.42042402,24.48820158,24.76526379,
Japan,28.33597017,26.70143607,26.56264143,26.65074506,27.31362673,28.58371142,28.62994765,28.88242601,29.01400769,28.80408481,29.07340052,29.26286087,26.91643406,,
Kazakhstan,40.60242212,37.2660881,36.30285333,33.69881564,33.20942583,30.85478739,31.97979036,32.3252253,33.4962004,33.02879591,33.09779715,35.2669296,34.97939742,32.3295254,
Kenya,18.57467277,19.66290083,19.26155256,19.08025911,19.0360328,18.8940457,18.16215929,17.50350921,17.31314613,16.93054523,17.40028763,17.15243578,17.5274481,16.85806939,
Kyrgyz Republic,26.26527379,27.44908809,22.25712973,24.84359467,23.88822892,25.07806232,26.546424,27.30809347,27.47851368,26.58031495,26.90424685,23.74830157,24.1941422,22.63541961,
Cambodia,26.00889851,26.66069267,27.61102977,28.9581198,29.91699165,31.46390517,33.05620946,34.29808092,36.87142375,39.04559465,37.45761228,40.32050857,40.86496262,40.51737416,
Kiribati,11.97760988,13.21564056,13.49302013,14.37698336,14.11507081,14.72677359,14.65063788,12.41675857,11.08181304,9.564407218,9.765947513,10.62754571,9.830740847,,
