Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Europe & Central Asia (excluding high income),1.37935E+12,1.56879E+12,1.6543E+12,1.80435E+12,1.73177E+12,1.50929E+12,1.44893E+12,1.49452E+12,1.46818E+12,1.49831E+12,1.43714E+12,1.67034E+12,1.81798E+12,2.1297E+12
Europe & Central Asia,2.11032E+13,2.34165E+13,2.25452E+13,2.35591E+13,2.38974E+13,2.05832E+13,2.05113E+13,2.17659E+13,2.33063E+13,2.30319E+13,2.22866E+13,2.5524E+13,2.56626E+13,2.75541E+13
Ecuador,68151329000,78986648000,87735048000,96570334000,1.02718E+11,97209558000,97671433000,1.04467E+11,1.07479E+11,1.07596E+11,95865472000,1.07435E+11,1.16586E+11,1.18845E+11
"Egypt, Arab Rep.",2.18984E+11,2.3599E+11,2.79117E+11,2.88434E+11,3.05595E+11,3.29367E+11,3.32442E+11,2.48363E+11,2.62589E+11,3.18679E+11,3.83818E+11,4.24672E+11,4.76748E+11,3.96002E+11
Euro area,1.27861E+13,1.38102E+13,1.27867E+13,1.33587E+13,1.36833E+13,1.18286E+13,1.21246E+13,1.28399E+13,1.38679E+13,1.3587E+13,1.32669E+13,1.49177E+13,1.4452E+13,1.57807E+13
Eritrea,1589515447,2065001626,,,,,,,,,,,,
Spain,1.42799E+12,1.48757E+12,1.33099E+12,1.36219E+12,1.38024E+12,1.20616E+12,1.24302E+12,1.32175E+12,1.43164E+12,1.4035E+12,1.28978E+12,1.46124E+12,1.4465E+12,1.62009E+12
Estonia,19524355419,23303915795,23237406116,25451032781,27055689003,23311847751,24561027788,27469461919,31222632741,31873748770,31820771494,37204563051,38376046175,41291245222
Ethiopia,29933790334,31952763089,43310721414,47648276605,55612228234,64589328551,74296745208,81770886826,84269196626,95912607722,1.07658E+11,1.11262E+11,1.26773E+11,1.63698E+11
European Union,1.46434E+13,1.58766E+13,1.4734E+13,1.54E+13,1.57648E+13,1.36551E+13,1.39903E+13,1.48701E+13,1.60915E+13,1.58084E+13,1.55047E+13,1.74966E+13,1.69953E+13,1.85907E+13
Fragile and conflict affected situations,1.59398E+12,1.66432E+12,1.86214E+12,1.93477E+12,2.05298E+12,1.61633E+12,1.48969E+12,1.58884E+12,1.73469E+12,1.84263E+12,1.67541E+12,1.78633E+12,1.96484E+12,1.93794E+12
Finland,2.4943E+11,2.75127E+11,2.57443E+11,2.70268E+11,2.73479E+11,2.33211E+11,2.38778E+11,2.53846E+11,2.73869E+11,2.67015E+11,2.7E+11,2.94223E+11,2.80242E+11,2.95532E+11
Fiji,3140166713,3779411899,3972028104,4189967999,4857104791,4682479912,4930213634,5353469171,5581425325,5444407214,4432466237,4305031631,4969503561,5442046565
France,2.64623E+12,2.87041E+12,2.68301E+12,2.81608E+12,2.86124E+12,2.44248E+12,2.47041E+12,2.58887E+12,2.78158E+12,2.72279E+12,2.64793E+12,2.96643E+12,2.7963E+12,3.05183E+12
Faroe Islands,2331796784,2505740669,2427200389,2690110521,2914012679,2573905971,2813278869,2980057378,3188600927,3266432734,3271813312,3664686797,3566698398,3907323961
"Micronesia, Fed. Sts.",296944100,311301600,327248700,317214400,319271200,316489900,325000000,359000000,392000000,394000000,372000000,390000000,430000000,460000000
Gabon,14372593020,18210307744,17170464016,17595744798,18203966896,14383107763,14023890265,14929487485,16867326402,16874405465,15342236164,19444935097,20440655695,19388402542
United Kingdom,2.48548E+12,2.66381E+12,2.70709E+12,2.78485E+12,3.06471E+12,2.92791E+12,2.68911E+12,2.68015E+12,2.87134E+12,2.85141E+12,2.69678E+12,3.14332E+12,3.11404E+12,3.38085E+12
Georgia,12426907967,15475290469,16894392033,17517660144,17966015109,15223796149,15444548902,16473125375,17902544881,17638337117,16010869216,18853115589,24984568960,30777833585
Ghana,32197655567,39336668081,41271701061,62824629066,54783319817,49406010054,56164929305,60405924079,67298914624,68337969248,70043099676,79524421861,74263364042,76370396722
Gibraltar,,,,,,,,,,,,,,
Guinea,6853467146,6785137203,7638044557,8376613539,8778473373,8794201743,8595955222,10324668271,11857030367,13442861496,14088693743,17069115738,19910452542,22199409741
"Gambia, The",1543294927,1409693597,1415004738,1375609453,1229461721,1378176609,1484578886,1504909463,1670671328,1813609692,1812170891,2014158842,2204734528,2396111022
Guinea-Bissau,940112538.9,1157074319,1049412177,1109682824,1135250721,1152384167,1245074264,1469978606,1554133594,1588638854,1646400350,1853796456,1796608531,2048348108
Equatorial Guinea,16314443436,21357343669,22388344144,21948834284,21765453082,13185496881,11240808848,12200913879,13097012134,11364133550,9893816008,12215878033,13687643436,12337550584
Greece,2.96418E+11,2.83228E+11,2.38841E+11,2.36556E+11,2.33912E+11,1.94567E+11,1.93097E+11,2.00381E+11,2.13299E+11,2.07306E+11,1.91363E+11,2.18304E+11,2.18881E+11,2.43498E+11
Grenada,771014814.8,778655555.6,799881481.5,842618518.5,911496296.3,997007407.4,1061640741,1125685185,1166514815,1213485185,1043411111,1122800000,1224577778,1316733333
Greenland,2503167187,2684461375,2609678486,2684946990,2842065708,2499113023,2707139544,2851613679,3055782146,2997309972,3082884653,3235809504,,
Guatemala,40676578423,46876006272,49593929487,52996446269,57852153059,62186064719,66053403469,71653754066,73328365862,77172317259,77719464221,86478835636,95630524813,1.0445E+11
Guam,4949000000,4984000000,5265000000,5399000000,5610000000,5799000000,5901000000,6013000000,6051000000,6355000000,5916000000,6234000000,6910000000,
Guyana,3432912517,3691384318,4063088536,4167800929,4127660152,4279840194,4482697337,4748174334,4787636998,5173760192,5471256595,8041363893,14718387017,17159509565
High income,4.74291E+13,5.16377E+13,5.18035E+13,5.25457E+13,5.34249E+13,4.98755E+13,5.08409E+13,5.34432E+13,5.6794E+13,5.7351E+13,5.59463E+13,6.27379E+13,6.49613E+13,6.82765E+13
"Hong Kong SAR, China",2.28639E+11,2.48514E+11,2.62629E+11,2.75697E+11,2.9146E+11,3.09386E+11,3.2086E+11,3.41273E+11,3.61731E+11,3.63075E+11,3.44943E+11,3.68954E+11,3.58681E+11,3.80812E+11
Honduras,15839344592,17710275685,18528554398,18499729215,19756533972,20979791685,21717604952,23136247991,24067750760,24882225742,23352232484,28144331507,31426041807,34400509852
Heavily indebted poor countries (HIPC),5.10517E+11,5.6572E+11,5.8635E+11,6.5786E+11,6.96366E+11,6.68869E+11,6.75915E+11,7.26226E+11,7.76506E+11,8.05115E+11,8.1314E+11,9.05797E+11,9.83602E+11,1.12995E+12
Croatia,58981738869,62903737380,57551963753,59852401272,59612144078,51005200670,52654855638,56186190438,61668130123,61467582194,57963370885,69006802299,71198635102,84393795502
Haiti,11859312725,13008746039,13708925477,14902488604,15146883498,14849629309,14069277526,15093357161,16403864618,15016090930,14508222518,20877414953,20253551921,19850829758
Hungary,1.32175E+11,1.41942E+11,1.28814E+11,1.35684E+11,1.41034E+11,1.25174E+11,1.2861E+11,1.43112E+11,1.60566E+11,1.6402E+11,1.57289E+11,1.8211E+11,1.77006E+11,2.12389E+11
IBRD only,2.01136E+13,2.38131E+13,2.53064E+13,2.67028E+13,2.75968E+13,2.58411E+13,2.60327E+13,2.87523E+13,3.06539E+13,3.12988E+13,3.01149E+13,3.5764E+13,3.7712E+13,3.87893E+13
IDA & IBRD total,2.17035E+13,2.56098E+13,2.72015E+13,2.87645E+13,2.98174E+13,2.80027E+13,2.81856E+13,3.1021E+13,3.30591E+13,3.3801E+13,3.2566E+13,3.84313E+13,4.05968E+13,4.1669E+13
IDA total,1.58991E+12,1.79666E+12,1.89507E+12,2.06179E+12,2.22059E+12,2.16036E+12,2.15188E+12,2.26854E+12,2.40508E+12,2.50178E+12,2.45027E+12,2.66855E+12,2.88545E+12,2.88051E+12
IDA blend,7.45687E+11,8.51975E+11,9.46686E+11,1.02864E+12,1.11565E+12,1.05899E+12,9.87291E+11,1.01216E+12,1.06672E+12,1.09277E+12,1.02408E+12,1.11425E+12,1.20834E+12,1.06844E+12
Indonesia,7.55094E+11,8.92969E+11,9.1787E+11,9.12524E+11,8.90815E+11,8.60854E+11,9.31877E+11,1.01562E+12,1.04227E+12,1.1191E+12,1.05905E+12,1.18651E+12,1.31908E+12,1.37117E+12
IDA only,8.44219E+11,9.44683E+11,9.48382E+11,1.03314E+12,1.10494E+12,1.10136E+12,1.16459E+12,1.25638E+12,1.33836E+12,1.40901E+12,1.42619E+12,1.5543E+12,1.67711E+12,1.81405E+12
Isle of Man,5920369790,6565667053,6690228372,7001175623,7708454412,7084800892,6846377563,6979788334,7491649456,7314967866,6684225641,7931193222,,
India,1.67562E+12,1.82305E+12,1.82764E+12,1.85672E+12,2.03913E+12,2.10359E+12,2.2948E+12,2.65147E+12,2.70293E+12,2.83561E+12,2.67485E+12,3.16727E+12,3.35347E+12,3.56755E+12
Not classified,,,,,,,,,,,,,,
Ireland,2.21986E+11,2.41337E+11,2.27271E+11,2.43302E+11,2.66787E+11,3.02391E+11,3.05733E+11,3.48532E+11,3.95461E+11,4.07125E+11,4.36556E+11,5.31307E+11,5.4857E+11,5.51395E+11
"Iran, Islamic Rep.",4.8707E+11,6.29082E+11,6.44019E+11,5.004E+11,4.62285E+11,4.09192E+11,4.59043E+11,4.89169E+11,3.9888E+11,3.33519E+11,2.62186E+11,3.83436E+11,3.94363E+11,4.04626E+11
Iraq,1.38517E+11,1.8575E+11,2.18002E+11,2.34638E+11,2.28416E+11,1.66774E+11,1.66744E+11,1.87218E+11,2.27367E+11,2.33636E+11,1.80899E+11,2.09692E+11,2.8664E+11,2.50843E+11
Iceland,13751161918,15221622926,14751508134,16125060515,17867662178,17517210519,20793168031,24728285177,26260850582,24681343649,21629953194,25825287184,28770206627,31325116556
Israel,2.38913E+11,2.67406E+11,2.62918E+11,2.97634E+11,3.1409E+11,3.02723E+11,3.20959E+11,3.57227E+11,3.7515E+11,3.99651E+11,4.11729E+11,4.89708E+11,5.25E+11,5.13611E+11
Italy,2.14494E+12,2.30697E+12,2.09793E+12,2.15323E+12,2.17326E+12,1.84543E+12,1.88711E+12,1.97072E+12,2.09944E+12,2.01961E+12,1.90748E+12,2.17921E+12,2.103E+12,2.30094E+12
Jamaica,13220549908,14444661522,14807086556,14264205153,13899217722,14188936958,14077096714,14808985171,15730792836,15830766571,13812421803,14657586127,17097760724,19423355409
Jordan,27133804225,29524149155,31634561690,34454440141,36847643521,38587017887,39892551127,41608435915,43370860704,44503006338,43700383099,46296100141,48764963380,50967475352
Japan,5.75907E+12,6.23315E+12,6.27236E+12,5.21233E+12,4.89699E+12,4.44493E+12,5.00368E+12,4.93084E+12,5.04088E+12,5.11799E+12,5.05559E+12,5.03462E+12,4.25641E+12,4.20449E+12
Kazakhstan,1.48047E+11,1.92626E+11,2.07999E+11,2.36635E+11,2.21416E+11,1.84388E+11,1.37278E+11,1.66806E+11,1.7934E+11,1.81667E+11,1.71082E+11,1.97112E+11,2.25496E+11,2.62642E+11
Kenya,45405615064,46869473151,56396704672,61671440408,68285796514,70120446897,74815144164,82036510877,92202979985,1.00378E+11,1.00658E+11,1.09704E+11,1.14449E+11,1.08039E+11
